Molecule ChEMBL ID,smiles,Standard Value
CHEMBL2331803,C[C@H](N)Cn1ccc2cc(F)c(Cl)cc21.O=C(O)/C=C/C(=O)O,71.67
CHEMBL77675,N=C(Nc1ccccc1)Nc1ccccc1,-6.79
CHEMBL1072,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,87.45
CHEMBL1200334,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2.Cl,14.3
CHEMBL1519829,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C/C(=O)O,2.41
CHEMBL43064,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.27
CHEMBL46469,O=C1c2c(O)cccc2Cc2cccc(O)c21,33.1
CHEMBL12089,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],1.59
CHEMBL44746,COc1c2occc2c(OC)c2c(=O)cc(C)oc12,-17.62
CHEMBL49642,O=C(Nc1ccncc1)C(=O)c1cn(Cc2ccc(Cl)cc2)c2ccccc12,35.11
CHEMBL296480,CC(C)(C)NC(=O)[C@@H]1CC2CCCCC2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,44.71
CHEMBL301717,CCc1cccc(CC)c1NC1=NCCN1,-6.34
CHEMBL52229,COc1ccc2ccc(=O)oc2c1CC=C(C)C,2.76
CHEMBL51697,CN1Cc2c(N)cccc2[C@H](c2ccccc2)C1,4.15
CHEMBL3189072,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O.Cl.O,1.68
CHEMBL294649,Cn1cc(C(=O)C(=O)N[C@H]2CN3CCC2CC3)c2ccccc21,0.93
CHEMBL925,N[C@@H](Cc1ccc(O)cc1)C(=O)O,30.42
CHEMBL59532,Cc1sc(N)c(C(=O)c2cccc(C(F)(F)F)c2)c1C,30.2
CHEMBL54440,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,10.54
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,18.82
CHEMBL56900,c1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1,51.62
CHEMBL3182733,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl.O,7.29
CHEMBL57053,Oc1ccc(Cl)cc1,-7.62
CHEMBL292477,c1ccc(CN2CCC3(CCc4ccccc43)CC2)cc1,10.68
CHEMBL66089,Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(-c3cccc(Br)c3)c12,9.32
CHEMBL543767,COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC.Cl,11.01
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,-2.73
CHEMBL305195,C[C@@H](CN1CCC(Cc2ccccc2)CC1)[C@@H](O)c1ccc(O)cc1,25.17
CHEMBL812,CN(C)C(=O)Oc1ccc[n+](C)c1.[Br-],-0.46
CHEMBL320193,COc1cc2c(cc1OC)C(C)NCC2,10.11
CHEMBL319144,O=P(O)(O)C(O)(Cc1cnc2ccccn12)P(=O)(O)O,-0.97
CHEMBL318457,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,19.78
CHEMBL321415,CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(N[C@@H](C)c3ccccc3)c2)[nH]1,50.29
CHEMBL1200678,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C.O=S(=O)(O)O,-2.85
CHEMBL441472,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,6.74
CHEMBL121626,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,0.04
CHEMBL169,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,10.99
CHEMBL541543,C1CCC(/N=C(\NC23CC4CC(CC(C4)C2)C3)N2CCOCC2)CC1.Cl,-2.21
CHEMBL1134,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],-0.43
CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,0.98
CHEMBL123904,Cc1nc2c(O)cccc2c(=O)[nH]1,14.42
CHEMBL434045,CCS(=O)(=O)N(C)[C@H]1c2cc(C#N)ccc2OC(C)(C)[C@@H]1O,30.41
CHEMBL1200586,CCCNC(C)C(=O)Nc1ccccc1C.Cl,-29.5
CHEMBL127516,CCCCOC(=O)c1ccc(N)cc1,-10.66
CHEMBL127508,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,38.46
CHEMBL1200339,CNC[C@H](O)c1cccc(O)c1.Cl,-0.74
CHEMBL188343,c1nc2c(NC3CCCCC3)nc(Nc3ccc(N4CCOCC4)cc3)nc2[nH]1,-4.39
CHEMBL191066,Oc1ccc(-c2c(-c3ccccc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1,11.69
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,6.88
CHEMBL1692,CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,1.49
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,-1.9
CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,5.62
CHEMBL424,O=C(O)c1ccccc1O,71.31
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,-2.89
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-3.99
CHEMBL1200735,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl,5.27
CHEMBL453,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,-2.26
CHEMBL3989514,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.Cl.O.O.O,4.19
CHEMBL1713,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,-10.37
CHEMBL386389,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,100.07
CHEMBL541521,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl,-10.29
CHEMBL1559,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,9.83
CHEMBL1220,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,3.81
CHEMBL1200340,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O=P(O)(O)O,-4.97
CHEMBL1238,O=C(O)CCCCCCCC(=O)O,20.53
CHEMBL1200769,CN(C)CCN(Cc1ccccc1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O,-23
CHEMBL423192,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1,92.8
CHEMBL149201,Cc1[nH]c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)c(C)c1CCC(=O)O,-10.99
CHEMBL149394,CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,82.55
CHEMBL147507,Cc1cccc(C)c1OC[C@@H](C)N,-3.1
CHEMBL1282,CC(C)Cn1cnc2c(N)nc3ccccc3c21,19.72
CHEMBL149518,COc1oc(=O)c2cc(N)ccc2c1Cl,-2.57
CHEMBL155625,OCc1c[nH]c2ccccc12,0.78
CHEMBL153057,CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(C(C)=O)c1O,-6.65
CHEMBL1200437,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,23.94
CHEMBL345714,Cc1cnc(C(=O)O)c[n+]1[O-],1.84
CHEMBL1301,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,50.16
CHEMBL349803,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,17.35
CHEMBL158784,CN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1,-2.05
CHEMBL159298,CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2,-5.46
CHEMBL353581,O=C(CCCCCCC(=O)Nc1cccnc1)NO,40.7
CHEMBL165790,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,5.86
CHEMBL165084,CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,16.52
CHEMBL164660,O=c1ccc2cc3ccoc3cc2o1,-9.6
CHEMBL353187,CC(C)C(=O)c1ccc(O)c(O)c1,-0.57
CHEMBL171066,CC(C)CC(N)=O,-4.53
CHEMBL172988,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.11
CHEMBL366947,CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2,2.74
CHEMBL175247,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,-3.03
CHEMBL177809,CCCCCCCCC(=O)NCc1cc(OC)c(O)cc1I,5.09
CHEMBL182319,CN[C@H](C(=O)N[C@H](C(=O)N(C)[C@H](/C=C(\C)C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1,56.43
CHEMBL186784,O=c1c2ccccc2oc2ccccc12,-5.09
CHEMBL184238,NC(=O)c1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,-0.38
CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,3.8
CHEMBL671,S=P(N1CC1)(N1CC1)N1CC1,46.58
CHEMBL677,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,21.84
CHEMBL23236,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,52.67
CHEMBL281764,CNC(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@@H](Cc1ccc2ccccc2c1)N(C)C(=O)/C=C/CC(C)(C)N,-10.64
CHEMBL25230,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)C[C@H]1C,22.72
CHEMBL983,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-],-0.5
CHEMBL27441,CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C,22.65
CHEMBL15928,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,53.73
CHEMBL567,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2.76
CHEMBL577,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-5.15
CHEMBL1256838,CCCN(CCC)C1Cc2cc(OC)c(OC)cc2C1.O=C(O)/C=C\C(=O)O,4.99
CHEMBL17423,COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,0.47
CHEMBL590,CC1=CC(=O)c2ccccc2C1=O,4.3
CHEMBL1715,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,-5.8
CHEMBL275854,CC(N)Cc1c[nH]c2ccc(O)cc12,8.76
CHEMBL18331,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,-5.69
CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,2.55
CHEMBL128,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,-0.78
CHEMBL27577,NC(=O)c1ccccc1O,58.7
CHEMBL1330764,Cl.Cl.c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,-1.67
CHEMBL26424,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1,-6.26
CHEMBL727,Nc1nc2[nH]cnc2c(=S)[nH]1,99.92
CHEMBL26019,COc1ccc(CCN)cc1OC,30.1
CHEMBL282093,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,3.57
CHEMBL285819,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,72.48
CHEMBL287327,O=C(Nc1ccccc1)N[C@H]1C[C@H](C(=O)O)Nc2cc(Cl)cc(Cl)c21,7.43
CHEMBL31344,O=C(O)CCc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12,15.15
CHEMBL31574,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,-1.83
CHEMBL284795,Cc1sc(C)c2c1CCC=C2c1c[nH]cn1,-3.85
CHEMBL783,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,2.79
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1.98
CHEMBL35093,Cc1ccc(N2CCN(CC[C@H]3NC(=O)c4ccccc43)CC2)cc1C,54.24
CHEMBL1354363,COC(=O)Nc1nc2cc(SC(C)C)ccc2[nH]1,-29.93
CHEMBL1368511,c1ccc2nc(C3=NCCN3)cnc2c1,22.32
CHEMBL1372341,O=C(O)c1cc(O)c2c3nc4ccccc4oc-3cc(=O)c2n1,13
CHEMBL393912,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,0.32
CHEMBL399021,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](CN2CCCC2)C1,41.15
CHEMBL1200887,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC.Cl,-0.67
CHEMBL1200776,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl,51.6
CHEMBL2104501,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1.Cl,2.79
CHEMBL1213887,CCOC(=O)C1=C(C)NC(=S)N[C@@H]1c1cccc(O)c1,4.5
CHEMBL1214598,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,-5.29
CHEMBL1230080,NC(=O)N[C@H]1NC(=O)NC1=O,9.66
CHEMBL1230609,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,18.3
CHEMBL1236620,CCOC(=O)c1c(/C(C#N)=C\N)c2ccc(Cl)c(Cl)c2n1C,-3.31
CHEMBL1256759,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,-0.5
CHEMBL1256919,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3,-9.4
CHEMBL143181,CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1)C(F)(F)F,2.42
CHEMBL1287853,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,-2.07
CHEMBL2206196,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O,4.7
CHEMBL2062259,O=C(O)C(O)C(O)C(=O)O.c1cnc2cc3c(cc2n1)C1CNCC3C1,-12.06
CHEMBL198997,CCCCOCCOc1nc(-c2ccc(C(=O)O)c(F)c2)sc1C,-3.79
CHEMBL379761,CC(C)c1c(NC(=O)Nc2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C,5.67
CHEMBL1206690,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,5.85
CHEMBL411481,COc1ccc(-c2oc3cc(OC)ccc3c2C(=O)c2ccc(C#N)cc2)cc1,-10.72
CHEMBL1572050,CCCCCCCCCCC(CO)CCCCCCCC,-9.69
CHEMBL1236282,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,0.64
CHEMBL4303418,CC1CCC2C(C)(C)C3CC12CCC3(C)O,16.09
CHEMBL2011500,COc1ccc(C(=O)CC2(O)C(=O)Nc3c(Cl)ccc(Cl)c32)cc1,5.29
CHEMBL20963,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1OCCN(C)C,57.65
CHEMBL24944,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,1.37
CHEMBL1200948,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O,-2.9
CHEMBL1200822,CC(=O)O.O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,32.6
CHEMBL1705,Cl.Clc1cccc(Cl)c1NC1=NCCN1,2.14
CHEMBL1569,Cl.NC12CC3CC(CC(C3)C1)C2,6.78
CHEMBL25306,C=CC(C)(O)CCC=C(C)C,-0.54
CHEMBL278519,O=C1c2ccccc2C(=O)C1c1ccc(Cl)cc1,2.17
CHEMBL719,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,26.23
CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,23.42
CHEMBL455,CC(=O)NS(=O)(=O)c1ccc(N)cc1,-3.73
CHEMBL3186492,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O.Cl.O.O,8.4
CHEMBL8412,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,-7.42
CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,1.17
CHEMBL1201124,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,11.07
CHEMBL12344,CN(C)CCCSC(=N)N,6.86
CHEMBL2103833,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1.O=P(O)(O)O,-5.18
CHEMBL581,O=C(O)[C@@H]1C[C@@H](C2CCCCC2)CN1C(=O)CP(=O)(O)CCCCc1ccccc1,0.11
CHEMBL19173,c1ccc(COCCCc2c[nH]cn2)cc1,-12.09
CHEMBL286204,O=C(O)c1cccnc1C(=O)O,-15.45
CHEMBL711,O=C1c2ccccc2C(=O)C1c1ccccc1,22.97
CHEMBL1200911,O=C(O)/C=C/C(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,4.36
CHEMBL71921,CC1=C(C)C(=O)C([C@@H](CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,-2.98
CHEMBL1256692,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1.CS(=O)(=O)O,5.96
CHEMBL1256915,CN1CC[C@@]2(C)c3cc(O)ccc3N(C)[C@@H]12.O=C(O)/C=C/C(=O)O,-3.78
CHEMBL310871,CCC[C@@H](NC(=O)N1C(=O)C(CC)(CC)[C@@H]1Oc1ccc(C(=O)N2CCN(C)CC2)cc1)c1ccc2c(c1)OCO2,2.51
CHEMBL313842,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,17.14
CHEMBL1065,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,-40.79
CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,-2.41
CHEMBL249697,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1,-12.94
CHEMBL1201236,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,4.56
CHEMBL1200648,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1.[Br-],-4.57
CHEMBL1200949,Cl.NCCc1cc[nH]n1,-11.15
CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,8.47
CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,92.91
CHEMBL2362766,C[C@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@@H](C)N1.Cl.Cl,1.09
CHEMBL12998,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)cc1,10.83
CHEMBL13470,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,-0.58
CHEMBL2355456,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1.CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O,-11.29
CHEMBL548,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,10.64
CHEMBL4303405,CC(=O)N[C@@H](CSSC[C@H](NC(C)=O)C(=O)O)C(=O)O,0.36
CHEMBL4303148,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(O)CO,3.84
CHEMBL4303645,Cc1ccc(C)c(-n2cnc3cc(C(=O)NCc4ccccc4Cl)ccc32)c1,-8.47
CHEMBL1088844,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1P(=O)(c1ccccc1)c1ccccc1,2.22
CHEMBL4303500,CCNC(=O)C#Cc1ccc2c(c1)NC(=O)/C2=C(/Nc1ccc(CN(C)C)cc1)c1ccccc1,-4.23
CHEMBL1456,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,12.93
CHEMBL1098726,CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CN(c1ccc(C(=O)O)cn1)C[C@H]2c1ccc(C#N)cc1,1.51
CHEMBL1165268,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,41.36
CHEMBL1201782,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.C[C@@H](O[C@H]1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,78.32
CHEMBL1201010,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-0.11
CHEMBL2104509,O=C(O)c1ccccc1-c1ccc(C(F)(F)F)cc1,6.1
CHEMBL2105450,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,94.41
CHEMBL2105534,CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,14.33
CHEMBL2105689,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,14.33
CHEMBL2105759,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,-5.93
CHEMBL2110370,COC1(C[S@@+]([O-])c2ccccc2)CCN(CCc2c[nH]c3ccc(F)cc23)CC1,1.57
CHEMBL2137530,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,46.75
CHEMBL2139947,Cc1cc(-c2ccc(CC(=O)Nc3ccc(-c4cccnc4)cc3)cc2)ccn1,82.33
CHEMBL2170062,Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1,-6.04
CHEMBL2170177,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,0.43
CHEMBL2171124,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,85.4
CHEMBL2219422,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,30.83
CHEMBL2355839,CNC(C)CCC=C(C)C.CNC(C)CCC=C(C)C.O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,33.52
CHEMBL2220486,CNC(=O)c1cccc2cc(Oc3ccnc4cc(OCC5(N)CC5)c(OC)cc34)ccc12,1.31
CHEMBL2312168,Cc1cc(C)cc(C(=O)NOCCCCCC(=O)NO)c1,21.21
CHEMBL2325429,Cc1ccc(C(=O)N(CCCN)[C@@H](c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1,78.89
CHEMBL2333365,Cc1c(C(=O)N2CCOc3ccc(-c4ccc(N)nc4)cc3C2)ccc(S(C)(=O)=O)c1F,2.03
CHEMBL2403238,C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,-3.27
CHEMBL3545414,CS(=O)(=O)O.N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,70.9
CHEMBL3187503,CC(C)c1noc(N2CCC(COc3ccc(-c4ccc(S(C)(=O)=O)cc4)nc3)CC2)n1,75.2
CHEMBL3234237,Fc1ccc(CN2CCC(Nc3ccc(C(F)(F)F)nn3)CC2)cc1F,21.19
CHEMBL3287036,CCCCOc1ccc(CC/C=C2\SC(=O)N(CCN)C2=O)cc1,-6.34
CHEMBL3301625,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,-0.93
CHEMBL3311302,Cc1ccc(S(=O)(=O)NC2c3ccccc3Oc3ccccc32)cc1,-7.5
