Molecule ChEMBL ID,smiles,Standard Value
CHEMBL1236936,O=C(O)CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(C(=O)O)cc1,0.34
CHEMBL1201765,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1.O=C(O)/C=C/C(=O)O,4.83
CHEMBL2391908,C[C@H](NC[C@H](O)CP(=O)(O)CC1CCCCC1)c1ccc(Cl)c(Cl)c1.Cl,-3.41
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-0.44
CHEMBL411,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,30.69
CHEMBL269732,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,3.58
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,3.58
CHEMBL1671,CC(C)NCC(O)COc1cccc2ccccc12.Cl,-7.3
CHEMBL266540,O=c1[nH]cnc2ccccc12,-10.42
CHEMBL404519,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,15.36
CHEMBL1201156,CNCCC=C1c2ccccc2CCc2ccccc21.Cl,-5.46
CHEMBL448,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,8.12
CHEMBL450,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-1.14
CHEMBL456,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.72
CHEMBL463,Nc1ccc(C(=O)NCC(=O)O)cc1,3.54
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,0.18
CHEMBL8565,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2c1=O,1.02
CHEMBL1417019,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,42.64
CHEMBL1314409,C#CCN(C)C(C)Cc1ccccc1.Cl,5.25
CHEMBL9514,COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1,66.14
CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-1.61
CHEMBL422037,CN(C)/N=N/c1ccc(C(=O)O)cc1,7.85
CHEMBL1256321,Cl.Clc1cccc(N2CCNCC2)c1,3.6
CHEMBL484,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,27.72
CHEMBL9453,Cc1c(C(=O)NCCCO)cnn1-c1nc(-c2cccc(C(F)(F)F)c2)cs1,14.94
CHEMBL1607,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1.Cl,-3
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,1.25
CHEMBL1533310,Cl.Cl.NCCc1c[nH]cn1,8.64
CHEMBL274323,N[C@@H](CC(=O)O)C(=O)O,-6.2
CHEMBL1715705,Cl.O.O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,-4.51
CHEMBL269644,CC(=O)Nc1ccccc1,6.86
CHEMBL268229,C[C@@H](N)Cc1c[nH]cn1,14.15
CHEMBL97858,CS/C(N)=C(C#N)/C(C#N)=C(\N)SC,17.66
CHEMBL319136,CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1,7.81
CHEMBL262766,Cc1nnsc1C(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2C(F)(F)F)cc1,61.72
CHEMBL103772,c1ccc(-c2nc(CN3CCN(c4ncccn4)CC3)c[nH]2)cc1,-10.77
CHEMBL1131,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,-2.83
CHEMBL108335,Cc1[nH]c2ccccc2c1C[C@@H](NC(=O)[C@@H](N)Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,-8.85
CHEMBL1153,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,66.77
CHEMBL1599248,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,34.54
CHEMBL320497,O=C(CCCCCCC(=O)NO)NO,19
CHEMBL1168,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,1.34
